model,lambda,beta
GPT-5.4 Mini,0.0,1.36221322537112
GPT-5.4 Mini,0.0,1.8993252361673414
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,3.618083670715249
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,1.4696356275303644
GPT-5.4 Mini,0.0,1.36221322537112
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,2.597570850202429
GPT-5.4 Mini,0.0,1.8724696356275303
GPT-5.4 Mini,0.0,2.4095816464237516
GPT-5.4 Mini,0.0,3.618083670715249
GPT-5.4 Mini,0.0,3.4300944669365716
GPT-5.4 Mini,0.0,1.8993252361673414
GPT-5.4 Mini,0.0,2.597570850202429
GPT-5.4 Mini,0.0,3.0004048582995946
GPT-5.4 Mini,0.0,1.4696356275303644
GPT-5.4 Mini,0.0,1.6844804318488529
GPT-5.4 Mini,0.0,3.1615384615384614
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,2.651282051282051
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,4.343184885290148
GPT-5.4 Mini,0.0,2.651282051282051
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,3.107827260458839
GPT-5.4 Mini,0.0,1.1205128205128205
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,2.4095816464237516
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,1.8724696356275303
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,4.343184885290148
GPT-5.4 Mini,0.0,2.8929824561403503
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,1.281646423751687
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,1.6844804318488529
GPT-5.4 Mini,0.0,3.618083670715249
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,2.141025641025641
GPT-5.4 Mini,0.0,1.4696356275303644
GPT-5.4 Mini,0.0,3.7255060728744933
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,1.5770580296896086
GPT-5.4 Mini,0.0,1.4696356275303644
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,1.5770580296896086
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,2.919838056680162
GPT-5.4 Mini,0.0,2.4095816464237516
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,2.919838056680162
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,3.4032388663967605
GPT-5.4 Mini,0.0,2.8929824561403503
GPT-5.4 Mini,0.0,2.651282051282051
GPT-5.4 Mini,0.0,3.618083670715249
GPT-5.4 Mini,0.0,1.6844804318488529
GPT-5.4 Mini,0.0,3.107827260458839
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,3.0004048582995946
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,1.6307692307692307
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,3.618083670715249
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,4.128340080971659
GPT-5.4 Mini,0.0,1.3890688259109312
GPT-5.4 Mini,0.0,1.8724696356275303
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,3.7255060728744933
GPT-5.4 Mini,0.0,1.8993252361673414
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,1.8993252361673414
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,1.281646423751687
GPT-5.4 Mini,0.0,2.651282051282051
GPT-5.4 Mini,0.0,1.8993252361673414
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,2.4095816464237516
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,2.919838056680162
GPT-5.4 Mini,0.0,2.597570850202429
GPT-5.4 Mini,0.0,2.3827260458839405
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,2.597570850202429
GPT-5.4 Mini,0.0,4.6385964912280695
GPT-5.4 Mini,0.0,2.597570850202429
GPT-5.4 Mini,0.0,1.5770580296896086
GPT-5.4 Mini,0.0,3.618083670715249
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,2.919838056680162
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,3.107827260458839
GPT-5.4 Mini,0.0,5.766531713900134
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,1.36221322537112
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,3.215249662618083
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,2.4095816464237516
GPT-5.4 Mini,0.0,3.0004048582995946
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,2.597570850202429
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,2.919838056680162
GPT-5.4 Mini,0.0,2.4095816464237516
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,1.5770580296896086
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,3.0004048582995946
GPT-5.4 Mini,0.0,3.0004048582995946
GPT-5.4 Mini,0.0,1.8724696356275303
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,3.1615384615384614
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,2.4095816464237516
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,1.8993252361673414
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,2.8929824561403503
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,2.8929824561403503
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,2.651282051282051
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,1.8993252361673414
GPT-5.4 Mini,0.0,2.4095816464237516
GPT-5.4 Mini,0.0,1.8993252361673414
GPT-5.4 Mini,0.0,3.618083670715249
GPT-5.4 Mini,0.0,1.8724696356275303
GPT-5.4 Mini,0.0,1.8724696356275303
GPT-5.4 Mini,0.0,1.8724696356275303
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,1.6307692307692307
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,2.141025641025641
GPT-5.4 Mini,0.0,3.107827260458839
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,3.940350877192982
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,2.597570850202429
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,1.6844804318488529
GPT-5.4 Mini,0.0,2.597570850202429
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,1.0668016194331984
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,1.4696356275303644
GPT-5.4 Mini,0.0,1.5770580296896086
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,1.8993252361673414
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,2.919838056680162
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,3.107827260458839
GPT-5.4 Mini,0.0,3.107827260458839
GPT-5.4 Mini,0.0,1.5770580296896086
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,1.5770580296896086
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,1.5770580296896086
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,3.510661268556005
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,2.597570850202429
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,2.3827260458839405
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,2.597570850202429
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,2.141025641025641
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,3.0004048582995946
GPT-5.4 Mini,0.0,3.3226720647773273
GPT-5.4 Mini,0.0,3.215249662618083
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,0.959379217273954
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,1.8724696356275303
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,1.4696356275303644
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,1.1742240215924427
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,3.0004048582995946
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,2.597570850202429
GPT-5.4 Mini,0.0,1.6844804318488529
GPT-5.4 Mini,0.20242914979757082,3.8060728744939265
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,1.6844804318488529
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.40485829959514164,3.6717948717948716
GPT-5.4 Mini,0.0,3.0004048582995946
GPT-5.4 Mini,0.0,1.8724696356275303
GPT-5.4 Mini,0.0,1.6307692307692307
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,2.597570850202429
GPT-5.4 Mini,0.0,3.1615384615384614
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,2.8929824561403503
GPT-5.4 Mini,0.0,2.141025641025641
GPT-5.4 Mini,0.0,1.3890688259109312
GPT-5.4 Mini,0.0,2.3827260458839405
GPT-5.4 Mini,0.0,2.3827260458839405
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,1.8993252361673414
GPT-5.4 Mini,0.0,3.3226720647773273
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,3.3226720647773273
GPT-5.4 Mini,0.0,2.3827260458839405
GPT-5.4 Mini,0.0,2.194736842105263
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,3.0004048582995946
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,3.0004048582995946
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,3.0004048582995946
GPT-5.4 Mini,0.0,2.8124156545209176
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,1.7919028340080971
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,1.281646423751687
GPT-5.4 Mini,0.0,2.3021592442645074
GPT-5.4 Mini,0.0,1.5770580296896086
GPT-5.4 Mini,0.0,1.9798920377867746
GPT-5.4 Mini,0.0,2.3021592442645074
Grok 4.1 Fast,0.0,9.633738191632927
Grok 4.1 Fast,0.20242914979757082,20.0
Grok 4.1 Fast,0.053981106612685556,11.325641025641024
Grok 4.1 Fast,0.0,9.95600539811066
Grok 4.1 Fast,0.0,9.44574898785425
Grok 4.1 Fast,0.0,9.042914979757084
Grok 4.1 Fast,0.026990553306342778,8.640080971659918
Grok 4.1 Fast,0.0,10.97651821862348
Grok 4.1 Fast,0.0,9.44574898785425
Grok 4.1 Fast,0.0,8.774358974358973
Grok 4.1 Fast,0.0,8.022402159244264
Grok 4.1 Fast,0.0,8.264102564102563
Grok 4.1 Fast,0.0,9.633738191632927
Grok 4.1 Fast,0.08097165991902833,11.325641025641024
Grok 4.1 Fast,0.0,9.848582995951416
Grok 4.1 Fast,0.0,7.807557354925775
Grok 4.1 Fast,0.0,9.44574898785425
Grok 4.1 Fast,0.0,13.312955465587043
Grok 4.1 Fast,0.0,11.48677462887989
Grok 4.1 Fast,0.0,10.654251012145748
Grok 4.1 Fast,0.0,10.815384615384614
Grok 4.1 Fast,0.0,8.505802968960863
Grok 4.1 Fast,0.0,8.022402159244264
Grok 4.1 Fast,0.026990553306342778,11.298785425101213
Grok 4.1 Fast,0.0,9.44574898785425
Grok 4.1 Fast,0.0,7.485290148448042
Grok 4.1 Fast,0.0,10.143994601889338
Grok 4.1 Fast,0.0,8.774358974358973
Grok 4.1 Fast,0.0,10.251417004048582
Grok 4.1 Fast,0.08097165991902833,13.876923076923076
Grok 4.1 Fast,0.0,9.741160593792172
Grok 4.1 Fast,0.0,7.189878542510121
Grok 4.1 Fast,0.0,8.613225371120107
Grok 4.1 Fast,0.0,13.312955465587043
Grok 4.1 Fast,0.053981106612685556,16.42820512820513
Grok 4.1 Fast,0.0,8.93549257759784
Grok 4.1 Fast,0.0,9.44574898785425
Grok 4.1 Fast,0.0,9.526315789473683
Grok 4.1 Fast,0.08097165991902833,16.93846153846154
Grok 4.1 Fast,0.0,10.036572199730093
Grok 4.1 Fast,0.0,7.404723346828609
Grok 4.1 Fast,0.0,9.230904183535761
Grok 4.1 Fast,0.0,9.848582995951416
Grok 4.1 Fast,0.24291497975708498,19.946288798920378
Grok 4.1 Fast,0.0,10.46626180836707
Grok 4.1 Fast,0.0,8.317813765182185
Grok 4.1 Fast,0.0,11.164507422402158
Grok 4.1 Fast,0.0,7.807557354925775
Grok 4.1 Fast,0.0,8.532658569500674
Grok 4.1 Fast,0.20242914979757082,20.0
Grok 4.1 Fast,0.053981106612685556,12.856410256410255
Grok 4.1 Fast,0.053981106612685556,15.407692307692306
Grok 4.1 Fast,0.0,11.48677462887989
Grok 4.1 Fast,0.0,10.251417004048582
Grok 4.1 Fast,0.0,11.835897435897435
Grok 4.1 Fast,0.08097165991902833,13.876923076923076
Grok 4.1 Fast,0.0,8.102968960863697
Grok 4.1 Fast,0.0,8.317813765182185
Grok 4.1 Fast,0.0,11.835897435897435
Grok 4.1 Fast,0.053981106612685556,11.835897435897435
Grok 4.1 Fast,0.053981106612685556,9.660593792172739
Grok 4.1 Fast,0.0,10.815384615384614
Grok 4.1 Fast,0.0,10.143994601889338
Grok 4.1 Fast,0.0,12.507287449392711
Grok 4.1 Fast,0.0,9.44574898785425
Grok 4.1 Fast,0.0,11.997031039136301
Grok 4.1 Fast,0.0,8.42523616734143
Grok 4.1 Fast,0.0,7.753846153846153
Grok 4.1 Fast,0.0,9.741160593792172
Grok 4.1 Fast,0.0,7.592712550607287
Grok 4.1 Fast,0.08097165991902833,9.794871794871794
Grok 4.1 Fast,0.0,10.305128205128204
Grok 4.1 Fast,0.0,7.700134952766531
Grok 4.1 Fast,0.0,10.97651821862348
Grok 4.1 Fast,0.0,8.93549257759784
Grok 4.1 Fast,0.08097165991902833,9.794871794871794
Grok 4.1 Fast,0.026990553306342778,12.023886639676112
Grok 4.1 Fast,0.0,12.910121457489877
Grok 4.1 Fast,0.0,9.123481781376517
Grok 4.1 Fast,0.0,7.753846153846153
Grok 4.1 Fast,0.0,20.0
Grok 4.1 Fast,0.0,9.44574898785425
Grok 4.1 Fast,0.0,10.251417004048582
Grok 4.1 Fast,0.053981106612685556,11.325641025641024
Grok 4.1 Fast,0.0,10.654251012145748
Grok 4.1 Fast,0.0,10.869095816464236
Grok 4.1 Fast,0.0,11.48677462887989
Grok 4.1 Fast,0.0,8.828070175438596
Grok 4.1 Fast,0.026990553306342778,9.150337381916328
Grok 4.1 Fast,0.0,9.526315789473683
Grok 4.1 Fast,0.08097165991902833,11.325641025641024
Grok 4.1 Fast,0.0,8.42523616734143
Grok 4.1 Fast,0.0,8.93549257759784
Grok 4.1 Fast,0.053981106612685556,10.600539811066126
Grok 4.1 Fast,0.0,10.654251012145748
Grok 4.1 Fast,0.0,10.46626180836707
Grok 4.1 Fast,0.0,9.338326585695006
Grok 4.1 Fast,0.0,9.230904183535761
Grok 4.1 Fast,0.0,8.828070175438596
Grok 4.1 Fast,0.0,9.123481781376517
Grok 4.1 Fast,0.053981106612685556,11.835897435897435
Grok 4.1 Fast,0.0,13.312955465587043
Grok 4.1 Fast,0.053981106612685556,15.407692307692306
Grok 4.1 Fast,0.0,11.48677462887989
Grok 4.1 Fast,0.0,11.997031039136301
Grok 4.1 Fast,0.053981106612685556,11.835897435897435
Grok 4.1 Fast,0.24291497975708498,18.97948717948718
Grok 4.1 Fast,0.026990553306342778,10.278272604588393
Grok 4.1 Fast,0.0,10.573684210526315
Grok 4.1 Fast,0.0,10.46626180836707
Grok 4.1 Fast,0.0,8.42523616734143
Grok 4.1 Fast,0.0,12.695276653171389
Grok 4.1 Fast,0.053981106612685556,11.835897435897435
Grok 4.1 Fast,0.0,9.123481781376517
Grok 4.1 Fast,0.0,8.774358974358973
Grok 4.1 Fast,0.026990553306342778,13.259244264507421
Grok 4.1 Fast,0.0,8.828070175438596
Grok 4.1 Fast,0.053981106612685556,14.387179487179486
Grok 4.1 Fast,0.0,9.848582995951416
Grok 4.1 Fast,0.0,8.102968960863697
Grok 4.1 Fast,0.20242914979757082,19.946288798920378
Grok 4.1 Fast,0.0,8.42523616734143
Grok 4.1 Fast,0.0,8.720647773279351
Grok 4.1 Fast,0.0,9.123481781376517
Grok 4.1 Fast,0.0,8.264102564102563
Grok 4.1 Fast,0.0,8.613225371120107
Grok 4.1 Fast,0.0,10.46626180836707
Grok 4.1 Fast,0.0,8.613225371120107
Grok 4.1 Fast,0.0,10.761673414304992
Grok 4.1 Fast,0.053981106612685556,13.876923076923076
Grok 4.1 Fast,0.0,8.42523616734143
Grok 4.1 Fast,0.0,10.97651821862348
Grok 4.1 Fast,0.0,8.42523616734143
Grok 4.1 Fast,0.0,9.44574898785425
Grok 4.1 Fast,0.08097165991902833,9.794871794871794
Grok 4.1 Fast,0.0,13.017543859649122
Grok 4.1 Fast,0.0,12.346153846153845
Grok 4.1 Fast,0.08097165991902833,11.835897435897435
Grok 4.1 Fast,0.20242914979757082,20.0
Grok 4.1 Fast,0.0,9.633738191632927
Grok 4.1 Fast,0.053981106612685556,11.325641025641024
Grok 4.1 Fast,0.0,12.185020242914979
Grok 4.1 Fast,0.053981106612685556,15.407692307692306
Grok 4.1 Fast,0.0,11.674763832658568
Grok 4.1 Fast,0.0,12.104453441295545
Grok 4.1 Fast,0.0,11.083940620782725
Grok 4.1 Fast,0.0,9.123481781376517
Grok 4.1 Fast,0.0,9.848582995951416
Grok 4.1 Fast,0.0,8.828070175438596
Grok 4.1 Fast,0.0,9.633738191632927
Grok 4.1 Fast,0.053981106612685556,10.815384615384614
Grok 4.1 Fast,0.0,12.185020242914979
Grok 4.1 Fast,0.20242914979757082,20.0
Grok 4.1 Fast,0.053981106612685556,10.305128205128204
Grok 4.1 Fast,0.0,13.312955465587043
Grok 4.1 Fast,0.0,10.761673414304992
Grok 4.1 Fast,0.026990553306342778,12.426720647773278
Grok 4.1 Fast,0.0,10.143994601889338
Grok 4.1 Fast,0.053981106612685556,12.856410256410255
Grok 4.1 Fast,0.0,20.0
Grok 4.1 Fast,0.20242914979757082,19.301754385964912
Grok 4.1 Fast,0.053981106612685556,15.917948717948716
Grok 4.1 Fast,0.026990553306342778,9.257759784075573
Grok 4.1 Fast,0.0,9.633738191632927
Grok 4.1 Fast,0.026990553306342778,12.426720647773278
Grok 4.1 Fast,0.0,11.594197031039135
Grok 4.1 Fast,0.0,7.485290148448042
Grok 4.1 Fast,0.0,8.102968960863697
Grok 4.1 Fast,0.0,8.210391363022941
Grok 4.1 Fast,0.0,12.587854251012145
Grok 4.1 Fast,0.10796221322537111,9.284615384615384
Grok 4.1 Fast,0.0,8.505802968960863
Grok 4.1 Fast,0.0,10.546828609986504
Grok 4.1 Fast,0.0,8.102968960863697
Grok 4.1 Fast,0.0,12.910121457489877
Grok 4.1 Fast,0.08097165991902833,12.856410256410255
Grok 4.1 Fast,0.0,13.527800269905532
Grok 4.1 Fast,0.08097165991902833,13.366666666666665
Grok 4.1 Fast,0.0,9.741160593792172
Grok 4.1 Fast,0.053981106612685556,10.305128205128204
Grok 4.1 Fast,0.0,10.654251012145748
Grok 4.1 Fast,0.053981106612685556,11.835897435897435
Grok 4.1 Fast,0.053981106612685556,17.44871794871795
Grok 4.1 Fast,0.053981106612685556,11.325641025641024
Grok 4.1 Fast,0.0,9.633738191632927
Grok 4.1 Fast,0.0,7.297300944669365
Grok 4.1 Fast,0.053981106612685556,15.407692307692306
Grok 4.1 Fast,0.0,9.633738191632927
Grok 4.1 Fast,0.24291497975708498,19.5165991902834
Grok 4.1 Fast,0.0,8.828070175438596
Grok 4.1 Fast,0.0,7.914979757085019
Grok 4.1 Fast,0.0,10.654251012145748
Grok 4.1 Fast,0.0,9.230904183535761
Grok 4.1 Fast,0.0,9.848582995951416
Grok 4.1 Fast,0.24291497975708498,20.0
Grok 4.1 Fast,0.0,9.338326585695006
Grok 4.1 Fast,0.0,9.123481781376517
Grok 4.1 Fast,0.0,9.848582995951416
Grok 4.1 Fast,0.0,8.42523616734143
Grok 4.1 Fast,0.0,10.143994601889338
Grok 4.1 Fast,0.0,9.284615384615384
Grok 4.1 Fast,0.0,10.546828609986504
Grok 4.1 Fast,0.026990553306342778,10.385695006747637
Grok 4.1 Fast,0.0,9.338326585695006
Grok 4.1 Fast,0.0,10.036572199730093
Grok 4.1 Fast,0.0,9.016059379217273
Grok 4.1 Fast,0.0,7.914979757085019
Grok 4.1 Fast,0.0,7.700134952766531
Grok 4.1 Fast,0.053981106612685556,8.96234817813765
Grok 4.1 Fast,0.0,12.695276653171389
Grok 4.1 Fast,0.0,10.97651821862348
Grok 4.1 Fast,0.08097165991902833,10.305128205128204
Grok 4.1 Fast,0.0,8.828070175438596
Grok 4.1 Fast,0.0,11.48677462887989
Grok 4.1 Fast,0.08097165991902833,14.387179487179486
Grok 4.1 Fast,0.0,9.123481781376517
Grok 4.1 Fast,0.0,8.613225371120107
Grok 4.1 Fast,0.0,11.379352226720647
Grok 4.1 Fast,0.0,6.894466936572199
Grok 4.1 Fast,0.0,9.123481781376517
Grok 4.1 Fast,0.0,9.230904183535761
Grok 4.1 Fast,0.053981106612685556,15.917948717948716
Grok 4.1 Fast,0.053981106612685556,11.835897435897435
Grok 4.1 Fast,0.24291497975708498,18.97948717948718
Grok 4.1 Fast,0.0,10.815384615384614
Grok 4.1 Fast,0.0,6.67962213225371
Grok 4.1 Fast,0.0,9.741160593792172
Grok 4.1 Fast,0.0,11.674763832658568
Grok 4.1 Fast,0.0,10.305128205128204
Grok 4.1 Fast,0.053981106612685556,11.325641025641024
Grok 4.1 Fast,0.0,8.613225371120107
Grok 4.1 Fast,0.053981106612685556,15.407692307692306
Grok 4.1 Fast,0.08097165991902833,11.325641025641024
Grok 4.1 Fast,0.0,10.815384615384614
Grok 4.1 Fast,0.0,13.527800269905532
Grok 4.1 Fast,0.20242914979757082,20.0
Grok 4.1 Fast,0.0,9.44574898785425
Grok 4.1 Fast,0.0,12.399865047233467
Grok 4.1 Fast,0.053981106612685556,16.42820512820513
Grok 4.1 Fast,0.0,12.695276653171389
Grok 4.1 Fast,0.0,8.774358974358973
Grok 4.1 Fast,0.0,8.828070175438596
Grok 4.1 Fast,0.0,8.93549257759784
Grok 4.1 Fast,0.24291497975708498,18.630364372469636
Grok 4.1 Fast,0.08097165991902833,12.856410256410255
Grok 4.1 Fast,0.0,12.507287449392711
Grok 4.1 Fast,0.20242914979757082,19.838866396761134
Grok 4.1 Fast,0.0,9.95600539811066
Grok 4.1 Fast,0.0,8.102968960863697
Grok 4.1 Fast,0.0,9.794871794871794
Grok 4.1 Fast,0.0,20.0
Grok 4.1 Fast,0.0,7.297300944669365
Grok 4.1 Fast,0.0,8.613225371120107
Grok 4.1 Fast,0.0,7.082456140350876
Grok 4.1 Fast,0.053981106612685556,12.346153846153845
Grok 4.1 Fast,0.0,8.93549257759784
Grok 4.1 Fast,0.0,7.592712550607287
Grok 4.1 Fast,0.053981106612685556,10.305128205128204
Grok 4.1 Fast,0.0,9.95600539811066
Grok 4.1 Fast,0.0,10.654251012145748
Grok 4.1 Fast,0.08097165991902833,14.387179487179486
Grok 4.1 Fast,0.0,11.164507422402158
Grok 4.1 Fast,0.0,10.143994601889338
Grok 4.1 Fast,0.026990553306342778,9.472604588394061
Grok 4.1 Fast,0.0,9.44574898785425
Grok 4.1 Fast,0.0,8.720647773279351
Grok 4.1 Fast,0.0,9.741160593792172
Grok 4.1 Fast,0.0,9.553171390013494
Grok 4.1 Fast,0.0,7.082456140350876
Grok 4.1 Fast,0.0,9.338326585695006
